Symbol,PriceUSD,VolumeUSD,ChangePct,SnapshotUTC
BTC,106670.25867647088,75237381429,-1.9,2025-11-04T02:47:12+00:00
ETH,3626.3432904041156,45617602975,-4.3,2025-11-04T02:47:12+00:00
USDT,0.9999774810543374,141898665743,-0.0,2025-11-04T02:47:12+00:00
XRP,2.3382637042246075,6143320339,-5.1,2025-11-04T02:47:12+00:00
BNB,993.4474309146343,3888225666,-6.0,2025-11-04T02:47:12+00:00
SOL,166.96090511659148,9758187819,-9.0,2025-11-04T02:47:12+00:00
USDC,0.9999944115576064,20698230657,0.0,2025-11-04T02:47:12+00:00
TRX,0.2833631754821051,1562037687,-4.2,2025-11-04T02:47:12+00:00
DOGE,0.16920664007476768,3483383676,-6.1,2025-11-04T02:47:12+00:00
ADA,0.5579281795823015,1769605237,-5.3,2025-11-04T02:47:12+00:00
HYPE,39.96165453438185,783515742,-3.3,2025-11-04T02:47:12+00:00
LINK,15.318957892586614,1347284691,-8.9,2025-11-04T02:47:12+00:00
BCH,509.0484001150301,365968573,-4.0,2025-11-04T02:47:12+00:00
USDE,0.9991539410253528,289958292,-0.0,2025-11-04T02:47:12+00:00
XLM,0.28180138856531617,325372190,-4.9,2025-11-04T02:47:12+00:00
LEO,9.51960090874718,927436,-0.8,2025-11-04T02:47:12+00:00
SUI,2.079426448589168,1451128248,-8.1,2025-11-04T02:47:12+00:00
HBAR,0.17654036460004724,400785575,-5.9,2025-11-04T02:47:12+00:00
ZEC,440.2458706731018,1254203155,10.1,2025-11-04T02:47:12+00:00
AVAX,16.8202569143891,801958464,-6.8,2025-11-04T02:47:12+00:00
LTC,89.13285065044663,1011041865,-7.7,2025-11-04T02:47:12+00:00
XMR,339.257010083564,220526651,-0.5,2025-11-04T02:47:12+00:00
SHIB,9.237317803651284e-06,227624851,-6.6,2025-11-04T02:47:12+00:00
TON,2.003774675309822,252835893,-11.0,2025-11-04T02:47:12+00:00
CRO,0.13102822057321797,35570343,-7.8,2025-11-04T02:47:12+00:00
DAI,0.9996569327543953,134392194,-0.0,2025-11-04T02:47:12+00:00
TAO,450.2808599605391,581868839,-5.1,2025-11-04T02:47:12+00:00
DOT,2.6166541054755537,373194533,-8.8,2025-11-04T02:47:12+00:00
MNT,1.2472489092371684,210012405,-6.2,2025-11-04T02:47:12+00:00
M,2.3329162463234456,13635266,-0.0,2025-11-04T02:47:12+00:00
UNI,5.22682484548149,380143114,-7.8,2025-11-04T02:47:12+00:00
WLFI,0.11497370191949846,214172069,-12.2,2025-11-04T02:47:12+00:00
AAVE,203.43744213212585,394833013,-9.2,2025-11-04T02:47:12+00:00
USD1,0.9991705940181579,447298222,-0.0,2025-11-04T02:47:12+00:00
PYUSD,0.9986096603325445,167119032,-0.0,2025-11-04T02:47:12+00:00
OKB,132.39235650183852,95963313,-4.2,2025-11-04T02:47:12+00:00
BGB,3.7363019923262044,125748831,-15.2,2025-11-04T02:47:12+00:00
NEAR,1.9185954679485513,308817768,-8.9,2025-11-04T02:47:12+00:00
PEPE,5.7592503286872684e-06,685289652,-10.2,2025-11-04T02:47:12+00:00
ENA,0.3375076822799118,310931484,-6.0,2025-11-04T02:47:12+00:00
ETC,14.993476905538184,115181821,-5.4,2025-11-04T02:47:12+00:00
ICP,4.277008463571984,395515635,5.4,2025-11-04T02:47:12+00:00
XAUT,3977.3025309043715,290704847,-0.5,2025-11-04T02:47:12+00:00
APT,2.7513356615458093,510058556,-15.2,2025-11-04T02:47:12+00:00
ONDO,0.6220767773560988,178650684,-7.4,2025-11-04T02:47:12+00:00
PI,0.2293192918944302,50760301,-6.7,2025-11-04T02:47:12+00:00
ASTER,0.9188309614244637,1421032667,-17.3,2025-11-04T02:47:12+00:00
POL,0.17097477299854164,119945932,-7.8,2025-11-04T02:47:12+00:00
HTX,1.7798157471617362e-06,21093535,-2.5,2025-11-04T02:47:12+00:00
WLD,0.7286282211369504,237926921,-10.2,2025-11-04T02:47:12+00:00
KCS,12.508145470066044,9717409,-5.2,2025-11-04T02:47:12+00:00
ARB,0.2652166501086849,269434626,-9.9,2025-11-04T02:47:12+00:00
DASH,116.76340859307834,1293851537,33.5,2025-11-04T02:47:12+00:00
TRUMP,7.125563372921375,1354144563,-5.5,2025-11-04T02:47:12+00:00
ALGO,0.16114491306404233,131339692,-6.6,2025-11-04T02:47:12+00:00
GT,12.064232390562836,11237195,-6.4,2025-11-04T02:47:12+00:00
PUMP,0.003876830432411355,352992903,-6.9,2025-11-04T02:47:12+00:00
PAXG,3976.9316354008884,178200744,-0.6,2025-11-04T02:47:12+00:00
IP,3.9540151021973595,59529347,-4.2,2025-11-04T02:47:12+00:00
VET,0.014748536441855281,45135421,-5.9,2025-11-04T02:47:12+00:00
KAS,0.04686141839515309,60820816,-6.4,2025-11-04T02:47:12+00:00
SKY,0.05425611364349669,17771664,-1.7,2025-11-04T02:47:12+00:00
ATOM,2.5192490013399773,151932957,-13.9,2025-11-04T02:47:12+00:00
JUP,0.36427414058745916,52713225,-6.6,2025-11-04T02:47:12+00:00
NEXO,1.0914188563103067,15039747,-1.5,2025-11-04T02:47:12+00:00
MKR,1286.845764834008,1038701,-0.7,2025-11-04T02:47:12+00:00
FLR,0.013954200916848958,15404410,-9.2,2025-11-04T02:47:12+00:00
QNT,74.59687491590161,21949714,-4.8,2025-11-04T02:47:12+00:00
SEI,0.16719306470336992,146309706,-10.7,2025-11-04T02:47:12+00:00
FIL,1.4782192330452246,207980844,-9.6,2025-11-04T02:47:12+00:00
RENDER,2.0126908042518004,85686854,-8.2,2025-11-04T02:47:12+00:00
RLUSD,0.9999518632417599,137357228,0.0,2025-11-04T02:47:12+00:00
FDUSD,0.9975452267911304,5580211527,-0.0,2025-11-04T02:47:12+00:00
PENGU,0.015533370077723995,238868025,-7.8,2025-11-04T02:47:12+00:00
MORPHO,1.860790086136098,48452246,-6.8,2025-11-04T02:47:12+00:00
XDC,0.05422346315811662,46031505,-6.2,2025-11-04T02:47:12+00:00
BONK,1.2244698932246762e-05,231215165,-10.0,2025-11-04T02:47:12+00:00
VIRTUAL,1.424955083445673,153847864,-7.7,2025-11-04T02:47:12+00:00
IMX,0.44914717768828205,37040133,-7.8,2025-11-04T02:47:12+00:00
AERO,0.90508337962217,79234838,-6.5,2025-11-04T02:47:12+00:00
FTN,1.7839984405605105,22201366,0.4,2025-11-04T02:47:12+00:00
CAKE,2.2443601550179193,149217461,-6.6,2025-11-04T02:47:12+00:00
SPX,0.7397007033996006,42992064,-8.4,2025-11-04T02:47:12+00:00
TIA,0.8179825198121174,101254139,-11.3,2025-11-04T02:47:12+00:00
STX,0.37611636380483837,27593293,-8.0,2025-11-04T02:47:12+00:00
OP,0.3583296605094986,205944996,-10.5,2025-11-04T02:47:12+00:00
LDO,0.7564985292035438,90066939,-10.7,2025-11-04T02:47:12+00:00
INJ,6.838756589433927,130880503,-8.7,2025-11-04T02:47:12+00:00
CRV,0.43094371294762657,149253160,-5.4,2025-11-04T02:47:12+00:00
BDX,0.0806776876613256,10270239,-0.4,2025-11-04T02:47:12+00:00
GRT,0.05694542751413646,37850271,-8.0,2025-11-04T02:47:12+00:00
FLOKI,6.0943737626518035e-05,96710249,-9.6,2025-11-04T02:47:12+00:00
HEX,0.006134636392398255,2402990,-8.3,2025-11-04T02:47:12+00:00
XTZ,0.5343439291716562,23193847,-4.7,2025-11-04T02:47:12+00:00
DCR,32.72073466563823,70004630,80.0,2025-11-04T02:47:12+00:00
KAIA,0.09439460572044375,35054495,-6.6,2025-11-04T02:47:12+00:00
FET,0.21078840341236643,134895896,-10.8,2025-11-04T02:47:12+00:00
2Z,0.1581025858961519,28144552,-4.0,2025-11-04T02:47:12+00:00
PYTH,0.09507325777797784,45575952,-8.7,2025-11-04T02:47:12+00:00
IOTA,0.1286526788673073,19213668,-6.0,2025-11-04T02:47:12+00:00
XPL,0.2698976009711462,432219862,5.4,2025-11-04T02:47:12+00:00
TUSD,0.9982031535106582,23025143,0.2,2025-11-04T02:47:12+00:00
ETHFI,0.8737578057094252,122875946,-8.6,2025-11-04T02:47:12+00:00
TWT,1.1623672186077614,39434522,-5.4,2025-11-04T02:47:12+00:00
STRK,0.10526460454447603,138717829,-7.2,2025-11-04T02:47:12+00:00
AB,0.00563470113850445,14526526,-4.6,2025-11-04T02:47:12+00:00
CFX,0.09033425464092314,35755534,-8.2,2025-11-04T02:47:12+00:00
S,0.12260362246339472,109115953,-8.9,2025-11-04T02:47:12+00:00
SYRUP,0.41129145069052164,44479283,-3.9,2025-11-04T02:47:12+00:00
PENDLE,2.72196255606986,54222037,-7.6,2025-11-04T02:47:12+00:00
ENS,13.543564195790221,61821270,-8.0,2025-11-04T02:47:12+00:00
SAND,0.18339438901321217,71475061,-8.2,2025-11-04T02:47:12+00:00
PLS,2.7961584602524757e-05,14204280,-5.2,2025-11-04T02:47:12+00:00
BTT,4.531613424176965e-07,18264888,-4.2,2025-11-04T02:47:12+00:00
H,0.2435210633208061,41976570,-4.7,2025-11-04T02:47:12+00:00
WIF,0.44135686972919924,213788974,-14.7,2025-11-04T02:47:12+00:00
JASMY,0.009022180253929183,52441852,-7.6,2025-11-04T02:47:12+00:00
GHO,0.9993645868329321,14607196,-0.0,2025-11-04T02:47:12+00:00
THETA,0.42739382512107654,39304003,-10.3,2025-11-04T02:47:12+00:00
BSV,21.257086767903747,13681278,-2.3,2025-11-04T02:47:12+00:00
USDD,0.9996221239797004,2940646,0.1,2025-11-04T02:47:12+00:00
