Symbol,PriceUSD,VolumeUSD,ChangePct,SnapshotUTC
BTC,106534.02857785764,75449640962,-2.2,2025-11-04T02:59:12+00:00
ETH,3629.687771558115,46057101641,-4.5,2025-11-04T02:59:12+00:00
USDT,0.9999683151307066,141269449907,-0.0,2025-11-04T02:59:12+00:00
XRP,2.340275626018991,6051544510,-5.3,2025-11-04T02:59:12+00:00
BNB,993.607238759621,3862666367,-6.3,2025-11-04T02:59:12+00:00
SOL,166.80977245902008,9697477345,-9.3,2025-11-04T02:59:12+00:00
USDC,1.0000044382234456,19724907111,0.0,2025-11-04T02:59:12+00:00
TRX,0.28365437278546407,1552616489,-4.2,2025-11-04T02:59:12+00:00
DOGE,0.16954377879492094,3451335803,-6.4,2025-11-04T02:59:12+00:00
ADA,0.5579874923521158,1762766456,-5.8,2025-11-04T02:59:12+00:00
HYPE,40.01595587594583,783864595,-3.7,2025-11-04T02:59:12+00:00
LINK,15.332964623145813,1337771501,-9.3,2025-11-04T02:59:12+00:00
BCH,509.10128357745185,364955943,-4.4,2025-11-04T02:59:12+00:00
USDE,0.9992185667259894,291189630,-0.0,2025-11-04T02:59:12+00:00
XLM,0.2820505614278766,325386657,-5.2,2025-11-04T02:59:12+00:00
LEO,9.519600900344683,923915,-0.8,2025-11-04T02:59:12+00:00
SUI,2.079024713819457,1449629550,-8.7,2025-11-04T02:59:12+00:00
HBAR,0.1766024959742641,399082938,-6.4,2025-11-04T02:59:12+00:00
AVAX,16.85897374502379,800139240,-7.1,2025-11-04T02:59:12+00:00
ZEC,437.09429190992984,1257425324,9.0,2025-11-04T02:59:12+00:00
LTC,89.11552306741113,999675451,-8.3,2025-11-04T02:59:12+00:00
XMR,339.79862327572,221445624,-0.5,2025-11-04T02:59:12+00:00
SHIB,9.247066465182917e-06,227376384,-6.9,2025-11-04T02:59:12+00:00
TON,2.0070631772007723,250339577,-10.9,2025-11-04T02:59:12+00:00
CRO,0.13119717758903657,35379871,-7.8,2025-11-04T02:59:12+00:00
DAI,0.999705361788264,166804783,-0.0,2025-11-04T02:59:12+00:00
TAO,447.9437958844364,582649645,-5.8,2025-11-04T02:59:12+00:00
DOT,2.622303114636159,372263479,-9.1,2025-11-04T02:59:12+00:00
MNT,1.2456300897394341,208465293,-6.8,2025-11-04T02:59:12+00:00
M,2.3257428244855682,13573559,-1.2,2025-11-04T02:59:12+00:00
UNI,5.228232592347771,378298596,-8.3,2025-11-04T02:59:12+00:00
WLFI,0.1151721339283175,213747052,-12.5,2025-11-04T02:59:12+00:00
AAVE,203.73830214920133,394742952,-9.2,2025-11-04T02:59:12+00:00
USD1,0.9991683130881027,427385587,-0.0,2025-11-04T02:59:12+00:00
PYUSD,0.9986352645668773,166157690,-0.0,2025-11-04T02:59:12+00:00
OKB,132.30199613959334,95474494,-4.6,2025-11-04T02:59:12+00:00
