Symbol,PriceUSD,VolumeUSD,ChangePct,SnapshotUTC
BTC,106558.2303299176,75449640962,-2.2,2025-11-04T03:01:12+00:00
ETH,3633.451837367619,46057101641,-4.4,2025-11-04T03:01:12+00:00
USDT,0.9999551338809377,141269449907,-0.0,2025-11-04T03:01:12+00:00
XRP,2.3419875240776538,6051544510,-5.2,2025-11-04T03:01:12+00:00
BNB,994.0020516149843,3862666367,-6.3,2025-11-04T03:01:12+00:00
SOL,166.88885278688537,9697477345,-9.2,2025-11-04T03:01:12+00:00
USDC,1.000002059925977,19724907111,0.0,2025-11-04T03:01:12+00:00
TRX,0.2836676987629756,1552616489,-4.2,2025-11-04T03:01:12+00:00
DOGE,0.16961179149211236,3451335803,-6.3,2025-11-04T03:01:12+00:00
ADA,0.5584475189366198,1762766456,-5.7,2025-11-04T03:01:12+00:00
HYPE,40.038747242246615,783864595,-3.6,2025-11-04T03:01:12+00:00
LINK,15.339017100890223,1337771501,-9.2,2025-11-04T03:01:12+00:00
BCH,509.1269724452865,364955943,-4.4,2025-11-04T03:01:12+00:00
USDE,0.9991501981514439,291189630,-0.0,2025-11-04T03:01:12+00:00
XLM,0.2821269915933799,325386657,-5.2,2025-11-04T03:01:12+00:00
LEO,9.519600150057448,923915,-0.8,2025-11-04T03:01:12+00:00
SUI,2.079822488993056,1449629550,-8.6,2025-11-04T03:01:12+00:00
HBAR,0.17668282676824096,399082938,-6.3,2025-11-04T03:01:12+00:00
AVAX,16.86281437480861,800139240,-7.1,2025-11-04T03:01:12+00:00
ZEC,437.857306564995,1257425324,9.1,2025-11-04T03:01:12+00:00
LTC,89.18898165643888,999675451,-8.2,2025-11-04T03:01:12+00:00
XMR,340.024862327572,221445624,-0.4,2025-11-04T03:01:12+00:00
SHIB,9.247833325583958e-06,227376384,-6.9,2025-11-04T03:01:12+00:00
TON,2.0084776323833657,250339577,-10.8,2025-11-04T03:01:12+00:00
CRO,0.13125564443586532,35379871,-7.7,2025-11-04T03:01:12+00:00
DAI,0.999681487756166,166804783,-0.0,2025-11-04T03:01:12+00:00
TAO,447.6622452674743,582649645,-5.8,2025-11-04T03:01:12+00:00
DOT,2.6234885813321602,372263479,-9.0,2025-11-04T03:01:12+00:00
