Symbol,PriceUSD,VolumeUSD,ChangePct,SnapshotUTC
BTC,107125.17714156237,72423366873,-1.1,2025-11-04T03:43:12+00:00
ETH,3648.746859735785,44727221175,-2.8,2025-11-04T03:43:12+00:00
USDT,0.9999420105202625,139074849134,-0.0,2025-11-04T03:43:12+00:00
XRP,2.359177237977782,6082987180,-3.2,2025-11-04T03:43:12+00:00
BNB,998.2060081498926,3792273594,-4.8,2025-11-04T03:43:12+00:00
SOL,168.00065290890427,9434685198,-6.4,2025-11-04T03:43:12+00:00
USDC,1.000037826538173,18981613342,0.0,2025-11-04T03:43:12+00:00
TRX,0.28470542282837435,1517566195,-3.3,2025-11-04T03:43:12+00:00
DOGE,0.1705277430035054,3476493128,-3.1,2025-11-04T03:43:12+00:00
ADA,0.5614355975199068,1427742191,-3.0,2025-11-04T03:43:12+00:00
HYPE,40.64816519132568,774708849,-0.3,2025-11-04T03:43:12+00:00
LINK,15.46884480453634,1317177012,-6.2,2025-11-04T03:43:12+00:00
BCH,510.4883318314668,352787575,-3.5,2025-11-04T03:43:12+00:00
USDE,0.999233912669465,285296913,-0.0,2025-11-04T03:43:12+00:00
XLM,0.28347214478875854,316194390,-3.3,2025-11-04T03:43:12+00:00
LEO,9.529959743774766,915623,-0.6,2025-11-04T03:43:12+00:00
SUI,2.0904939122664956,1392548745,-5.8,2025-11-04T03:43:12+00:00
HBAR,0.17784275165433863,394892131,-4.0,2025-11-04T03:43:12+00:00
ZEC,457.8472545783174,1348077894,14.5,2025-11-04T03:43:12+00:00
AVAX,16.967870793882803,770158768,-4.2,2025-11-04T03:43:12+00:00
LTC,89.23451430037107,996427117,-6.5,2025-11-04T03:43:12+00:00
XMR,341.34125941434723,220897418,0.9,2025-11-04T03:43:12+00:00
SHIB,9.28590550426506e-06,225913354,-4.8,2025-11-04T03:43:12+00:00
TON,2.0161287434971844,231518943,-9.4,2025-11-04T03:43:12+00:00
CRO,0.13162634137452423,36747083,-5.6,2025-11-04T03:43:12+00:00
DAI,0.9997570408620038,163994978,-0.0,2025-11-04T03:43:12+00:00
TAO,446.8106477726958,579041657,-4.2,2025-11-04T03:43:12+00:00
DOT,2.6474795564228626,364951866,-5.9,2025-11-04T03:43:12+00:00
MNT,1.2501581403023871,205185559,-4.4,2025-11-04T03:43:12+00:00
M,2.321075912814671,13485795,-0.6,2025-11-04T03:43:12+00:00
UNI,5.273016045159332,369555752,-4.8,2025-11-04T03:43:12+00:00
WLFI,0.11602862791263947,209113401,-9.5,2025-11-04T03:43:12+00:00
AAVE,205.63730547931618,388254371,-5.9,2025-11-04T03:43:12+00:00
USD1,0.9991991411513934,437298031,-0.0,2025-11-04T03:43:12+00:00
PYUSD,0.9986539138548391,164967395,-0.0,2025-11-04T03:43:12+00:00
OKB,133.02362480510845,91269131,-2.6,2025-11-04T03:43:12+00:00
BGB,3.752409610473706,126098572,-14.1,2025-11-04T03:43:12+00:00
ICP,4.75320317555225,483706357,17.9,2025-11-04T03:43:12+00:00
NEAR,1.9399348859180112,306619229,-6.1,2025-11-04T03:43:12+00:00
PEPE,5.825377101163854e-06,678560603,-6.9,2025-11-04T03:43:12+00:00
ENA,0.34142527437668435,306955900,-4.2,2025-11-04T03:43:12+00:00
ETC,15.174227713087056,114271173,-3.0,2025-11-04T03:43:12+00:00
XAUT,3991.2474048463037,290799241,-0.3,2025-11-04T03:43:12+00:00
APT,2.7804492003571335,520983845,-12.3,2025-11-04T03:43:12+00:00
ONDO,0.6240254243219945,175431059,-5.3,2025-11-04T03:43:12+00:00
PI,0.23081286721379193,49341904,-5.1,2025-11-04T03:43:12+00:00
ASTER,0.9238347859901073,1358100968,-14.7,2025-11-04T03:43:12+00:00
POL,0.17228061981602122,117746193,-5.8,2025-11-04T03:43:12+00:00
WLD,0.7366661569681807,233915391,-7.3,2025-11-04T03:43:12+00:00
HTX,1.7784583496496957e-06,21340355,-2.6,2025-11-04T03:43:12+00:00
KCS,12.558307274507245,11313461,-4.0,2025-11-04T03:43:12+00:00
DASH,123.21266684121056,1329614367,43.5,2025-11-04T03:43:12+00:00
ARB,0.26834749303444,265067891,-7.2,2025-11-04T03:43:12+00:00
TRUMP,7.14447177070061,1335088224,-3.3,2025-11-04T03:43:12+00:00
ALGO,0.16191727359760175,127713381,-4.8,2025-11-04T03:43:12+00:00
GT,12.065643752672159,11287682,-5.5,2025-11-04T03:43:12+00:00
PUMP,0.003922562199026314,346812972,-6.8,2025-11-04T03:43:12+00:00
PAXG,3991.729542194411,184388099,-0.4,2025-11-04T03:43:12+00:00
IP,3.986179523390996,57619837,0.2,2025-11-04T03:43:12+00:00
VET,0.014876987698051096,44011755,-3.8,2025-11-04T03:43:12+00:00
KAS,0.04656329873263866,58178807,-5.0,2025-11-04T03:43:12+00:00
SKY,0.05429597809731762,17630896,-1.5,2025-11-04T03:43:12+00:00
ATOM,2.533354079819546,152726305,-12.1,2025-11-04T03:43:12+00:00
JUP,0.3690363048539716,51274212,-3.4,2025-11-04T03:43:12+00:00
FLR,0.014010773234106249,15044705,-8.8,2025-11-04T03:43:12+00:00
QNT,75.2006180666293,21895744,-2.9,2025-11-04T03:43:12+00:00
NEXO,1.087562234786557,15253237,-1.4,2025-11-04T03:43:12+00:00
MKR,1279.6413555942693,1010955,-1.8,2025-11-04T03:43:12+00:00
FIL,1.515223126395401,203551179,-4.6,2025-11-04T03:43:12+00:00
SEI,0.16931939182781064,141283544,-7.3,2025-11-04T03:43:12+00:00
RENDER,2.036727293289149,83966923,-5.2,2025-11-04T03:43:12+00:00
RLUSD,0.9998590009566035,143044598,0.0,2025-11-04T03:43:12+00:00
FDUSD,0.9975129032583385,5348646744,-0.0,2025-11-04T03:43:12+00:00
PENGU,0.015608929895410165,230534614,-6.2,2025-11-04T03:43:12+00:00
MORPHO,1.8653916642033899,46487464,-5.8,2025-11-04T03:43:12+00:00
XDC,0.05427107337005814,45591623,-4.8,2025-11-04T03:43:12+00:00
BONK,1.228878633289018e-05,223812595,-7.6,2025-11-04T03:43:12+00:00
VIRTUAL,1.4270856867894486,364018409,-6.6,2025-11-04T03:43:12+00:00
IMX,0.4489879742037028,36029730,-6.8,2025-11-04T03:43:12+00:00
AERO,0.9060232898235839,78132078,-5.2,2025-11-04T03:43:12+00:00
CAKE,2.260342425810829,145968496,-4.9,2025-11-04T03:43:12+00:00
FTN,1.7867024254731632,22293504,0.7,2025-11-04T03:43:12+00:00
SPX,0.7469963208094469,41007485,-4.9,2025-11-04T03:43:12+00:00
OP,0.36307158712359155,202934134,-7.4,2025-11-04T03:43:12+00:00
TIA,0.8242014569634224,98219645,-8.2,2025-11-04T03:43:12+00:00
STX,0.3787535334439742,27151770,-5.7,2025-11-04T03:43:12+00:00
LDO,0.7642549912806043,89577858,-8.3,2025-11-04T03:43:12+00:00
INJ,6.964616792257677,128476082,-5.5,2025-11-04T03:43:12+00:00
CRV,0.43587253715524177,146074064,-2.8,2025-11-04T03:43:12+00:00
GRT,0.05733494221102339,37250090,-6.2,2025-11-04T03:43:12+00:00
BDX,0.08070768994630304,10419530,-0.3,2025-11-04T03:43:12+00:00
FLOKI,6.121694415854039e-05,95028373,-7.8,2025-11-04T03:43:12+00:00
HEX,0.006199741464766552,2374617,-5.6,2025-11-04T03:43:12+00:00
XTZ,0.5376936520316202,22664046,-2.6,2025-11-04T03:43:12+00:00
DCR,33.41246833378816,73165351,85.3,2025-11-04T03:43:12+00:00
FET,0.21453985222844538,133463627,-7.7,2025-11-04T03:43:12+00:00
2Z,0.1598322184534771,27731131,-1.5,2025-11-04T03:43:12+00:00
KAIA,0.09455719273444686,34915332,-5.7,2025-11-04T03:43:12+00:00
PYTH,0.09595608511875688,44210009,-5.5,2025-11-04T03:43:12+00:00
IOTA,0.12975240398245452,18430840,-3.1,2025-11-04T03:43:12+00:00
XPL,0.27304744385775037,427504243,5.8,2025-11-04T03:43:12+00:00
ETHFI,0.883475317491475,121828951,-5.8,2025-11-04T03:43:12+00:00
TUSD,0.9981765728910919,22832110,0.2,2025-11-04T03:43:12+00:00
TWT,1.173341241459391,39231560,-3.7,2025-11-04T03:43:12+00:00
AB,0.005599274146843124,14530986,-4.7,2025-11-04T03:43:12+00:00
STRK,0.10399703323211287,135847721,-5.5,2025-11-04T03:43:12+00:00
CFX,0.09144053998296299,34677314,-4.4,2025-11-04T03:43:12+00:00
S,0.12320332431734361,85343326,-7.5,2025-11-04T03:43:12+00:00
PENDLE,2.762120928600111,54075863,-5.0,2025-11-04T03:43:12+00:00
SYRUP,0.41599594288978226,43732245,-1.8,2025-11-04T03:43:12+00:00
H,0.24849523778965177,40939277,-1.0,2025-11-04T03:43:12+00:00
ENS,13.64192770947178,60662760,-5.7,2025-11-04T03:43:12+00:00
SAND,0.18465452284219705,70140784,-6.1,2025-11-04T03:43:12+00:00
PLS,2.8076337096477177e-05,14188590,-3.0,2025-11-04T03:43:12+00:00
BTT,4.5175082042193105e-07,17986582,-4.4,2025-11-04T03:43:12+00:00
WIF,0.44431921987025347,210958459,-11.8,2025-11-04T03:43:12+00:00
JASMY,0.009054295560266467,51660162,-5.5,2025-11-04T03:43:12+00:00
THETA,0.4328066436212748,38419375,-6.8,2025-11-04T03:43:12+00:00
GHO,0.9994529383239342,13412415,-0.0,2025-11-04T03:43:12+00:00
BSV,21.40111508505531,13443469,-0.6,2025-11-04T03:43:12+00:00
GALA,0.009110155370966667,108295217,-6.8,2025-11-04T03:43:12+00:00
USDD,0.9997064113767742,2912823,0.1,2025-11-04T03:43:12+00:00
SUN,0.02164089364081557,29682481,-2.0,2025-11-04T03:43:12+00:00
MANA,0.21357569164669674,40556346,-2.8,2025-11-04T03:43:12+00:00
HNT,2.1928150180774875,10189519,-5.0,2025-11-04T03:43:12+00:00
USDB,0.9981397456563657,69682,0.4,2025-11-04T03:43:12+00:00
A,0.252090612293439,52070374,-2.9,2025-11-04T03:43:12+00:00
NFT,4.012403429222764e-07,35776590,-0.4,2025-11-04T03:43:12+00:00
FLOW,0.2452243662568934,22160369,-3.5,2025-11-04T03:43:12+00:00
ZEN,21.91788491659097,409696533,34.8,2025-11-04T03:43:12+00:00
RAY,1.4222997493808442,58108217,-8.1,2025-11-04T03:43:12+00:00
DEXE,6.587237485294729,8014720,-4.4,2025-11-04T03:43:12+00:00
ZK,0.05172343104076031,326146969,-7.7,2025-11-04T03:43:12+00:00
PLSX,1.8365020992287106e-05,1408896,-4.1,2025-11-04T03:43:12+00:00
MYX,1.8573204632329774,31714127,-8.4,2025-11-04T03:43:12+00:00
JST,0.035435777722539794,54530934,0.8,2025-11-04T03:43:12+00:00
NEO,4.971857977257276,35925543,-0.8,2025-11-04T03:43:12+00:00
VSN,0.10306152894152111,2080825,-3.0,2025-11-04T03:43:12+00:00
BORG,0.35119768281872843,3126190,-11.8,2025-11-04T03:43:12+00:00
ATH,0.02420435033300039,40075797,-9.5,2025-11-04T03:43:12+00:00
APE,0.3723066286127648,37704078,-3.1,2025-11-04T03:43:12+00:00
JTO,0.8430183222250142,40653033,-6.1,2025-11-04T03:43:12+00:00
EIGEN,0.766669718071027,96110721,-6.5,2025-11-04T03:43:12+00:00
GNO,125.01709805633115,9611688,-3.7,2025-11-04T03:43:12+00:00
MERL,0.31115862165194375,48419562,1.9,2025-11-04T03:43:12+00:00
WAL,0.2126078350022996,31025166,-3.1,2025-11-04T03:43:12+00:00
BAT,0.21417978638505267,111743555,12.8,2025-11-04T03:43:12+00:00
COMP,33.00748250876201,36801563,-3.1,2025-11-04T03:43:12+00:00
SNX,0.9100441692708454,73390476,-4.4,2025-11-04T03:43:12+00:00
CCD,0.02563607160267675,2093677,-9.3,2025-11-04T03:43:12+00:00
ZBCN,0.0031684560977845388,23457334,-8.2,2025-11-04T03:43:12+00:00
0G,1.4090455420851584,458968689,34.4,2025-11-04T03:43:12+00:00
FLUID,3.792472295635767,8540059,-5.2,2025-11-04T03:43:12+00:00
CHZ,0.029232723271885745,31474067,-4.1,2025-11-04T03:43:12+00:00
RSR,0.004835832692873289,31229122,-4.7,2025-11-04T03:43:12+00:00
LION,0.009408087733820698,1102435,-6.8,2025-11-04T03:43:12+00:00
APEPE,1.3678313752671248e-06,16157483,-3.6,2025-11-04T03:43:12+00:00
KULA,0.43194859662312196,321351,2.2,2025-11-04T03:43:12+00:00
W,0.057820673883202965,46510784,-6.3,2025-11-04T03:43:12+00:00
TEL,0.002932246675200676,3086784,-1.5,2025-11-04T03:43:12+00:00
RUNE,0.7921144771429713,67805034,-4.4,2025-11-04T03:43:12+00:00
TRAC,0.556837068097982,6847912,1.5,2025-11-04T03:43:12+00:00
ZORA,0.06137369845759389,63578569,-3.0,2025-11-04T03:43:12+00:00
WEMIX,0.5963200138775684,4158982,1.8,2025-11-04T03:43:12+00:00
CRVUSD,0.9932843222411252,34344315,-0.0,2025-11-04T03:43:12+00:00
EURC,1.1505121483179113,39584214,-0.1,2025-11-04T03:43:12+00:00
XEC,1.3568006867358713e-05,11141943,-3.6,2025-11-04T03:43:12+00:00
FF,0.11507123639010855,60980751,3.2,2025-11-04T03:43:12+00:00
CHEEMS,1.3118682044936364e-06,1881109,-1.9,2025-11-04T03:43:12+00:00
FTT,0.8078545833094799,10441280,-4.8,2025-11-04T03:43:12+00:00
FARTCOIN,0.2641865535063893,119850561,-14.7,2025-11-04T03:43:12+00:00
AR,3.969205142112426,65492277,0.3,2025-11-04T03:43:12+00:00
UDS,2.5210043629467194,1124173,1.0,2025-11-04T03:43:12+00:00
XCN,0.007090740275536899,29032055,-6.7,2025-11-04T03:43:12+00:00
EGLD,8.720373311961726,20182102,-5.6,2025-11-04T03:43:12+00:00
TOSHI,0.0005939701319228817,42093790,-6.8,2025-11-04T03:43:12+00:00
LPT,5.166970944180786,50382899,0.5,2025-11-04T03:43:12+00:00
BRETT,0.02316524653567311,34617142,-8.5,2025-11-04T03:43:12+00:00
BEAM,0.004426328601005076,22639400,-4.8,2025-11-04T03:43:12+00:00
KAITO,0.917131087645021,21566860,-3.2,2025-11-04T03:43:12+00:00
DYDX,0.27705777451185,19253727,-7.7,2025-11-04T03:43:12+00:00
LUNC,3.95853592417425e-05,15960235,-3.1,2025-11-04T03:43:12+00:00
1INCH,0.1546910238518529,22859012,-5.4,2025-11-04T03:43:12+00:00
RON,0.29979110786364865,5770298,-6.8,2025-11-04T03:43:12+00:00
BERA,1.6553255260999802,56104119,-6.2,2025-11-04T03:43:12+00:00
MOCA,0.05443504475218404,34372515,-9.7,2025-11-04T03:43:12+00:00
CTC,0.43308203958412445,17721524,-5.2,2025-11-04T03:43:12+00:00
CORE,0.21004741033811136,16850427,-4.4,2025-11-04T03:43:12+00:00
AXS,1.2786781566223628,39185294,-7.0,2025-11-04T03:43:12+00:00
REAL,0.07112692509462246,21982506,-0.7,2025-11-04T03:43:12+00:00
SUPER,0.3244476811271163,13780452,-7.5,2025-11-04T03:43:12+00:00
COAI,1.048070329108923,186530541,-7.2,2025-11-04T03:43:12+00:00
SOSO,0.7332299487957146,12333573,-5.6,2025-11-04T03:43:12+00:00
AMP,0.0023624520285664315,6302179,-1.9,2025-11-04T03:43:12+00:00
PROM,10.78219909216911,4054664,-0.0,2025-11-04T03:43:12+00:00
LGCT,1.8285298488982207,4885111,0.0,2025-11-04T03:43:12+00:00
REKT,4.6099082848194813e-07,1934460,-8.2,2025-11-04T03:43:12+00:00
SOON,0.691307417566677,48228324,-1.1,2025-11-04T03:43:12+00:00
SVL,0.039067227155497444,967146,-0.9,2025-11-04T03:43:12+00:00
LINEA,0.012010541494590984,105422894,-14.0,2025-11-04T03:43:12+00:00
USELESS,0.18897092497452192,47878242,-7.8,2025-11-04T03:43:12+00:00
MX,2.0419504872211975,41705705,-3.5,2025-11-04T03:43:12+00:00
B,0.18706509061314347,15142758,4.0,2025-11-04T03:43:12+00:00
QTUM,1.744841728841787,20597906,-4.6,2025-11-04T03:43:12+00:00
AIOZ,0.15307921700622273,13103974,-9.8,2025-11-04T03:43:12+00:00
JELLYJELLY,0.18455708939441742,239893939,187.7,2025-11-04T03:43:12+00:00
KMNO,0.0582528864597287,32290126,3.3,2025-11-04T03:43:12+00:00
VENOM,0.08624906778079394,408230,-1.5,2025-11-04T03:43:12+00:00
AIC,0.18135614973023592,5679024,-8.4,2025-11-04T03:43:12+00:00
GLM,0.1764965182376925,9776731,0.2,2025-11-04T03:43:12+00:00
AKT,0.6164546750259189,11239387,-6.0,2025-11-04T03:43:12+00:00
SAHARA,0.07284959404269852,22203889,-0.8,2025-11-04T03:43:12+00:00
PLUME,0.05518465762799601,24176268,-9.9,2025-11-04T03:43:12+00:00
ZANO,11.412491288107141,2011722,-2.7,2025-11-04T03:43:12+00:00
AXL,0.1605217153145612,13937516,-4.9,2025-11-04T03:43:12+00:00
BMX,0.4996943005294911,6250210,-1.1,2025-11-04T03:43:12+00:00
SFP,0.3350853346725749,3924966,-0.1,2025-11-04T03:43:12+00:00
KSM,9.65735876099211,20205874,-5.9,2025-11-04T03:43:12+00:00
FORM,0.4327077803561187,30170230,-11.0,2025-11-04T03:43:12+00:00
CVX,1.989392093576816,12822251,-4.8,2025-11-04T03:43:12+00:00
ZRO,1.4607460838781978,77595835,-10.9,2025-11-04T03:43:12+00:00
DEEP,0.06477801536992552,32740750,-0.8,2025-11-04T03:43:12+00:00
EOS,0.2514379549266582,310485,-3.4,2025-11-04T03:43:12+00:00
GOMINING,0.3877399287173877,11585438,-1.9,2025-11-04T03:43:12+00:00
MOVE,0.05593944291609044,40067939,-12.8,2025-11-04T03:43:12+00:00
TFUEL,0.021978228841951067,1996853,-8.3,2025-11-04T03:43:12+00:00
USDJ,1.209999933242766,2538847,-0.0,2025-11-04T03:43:12+00:00
YFI,4581.479116386904,18235555,-0.4,2025-11-04T03:43:12+00:00
ARKM,0.302394043178296,66480626,-9.8,2025-11-04T03:43:12+00:00
UB,0.06212355730291833,29283839,-10.9,2025-11-04T03:43:12+00:00
ZRX,0.18229852283070544,19430574,-2.6,2025-11-04T03:43:12+00:00
KTA,0.3522723345107912,6960396,-10.9,2025-11-04T03:43:12+00:00
RIVER,7.836361506144423,17229725,6.9,2025-11-04T03:43:12+00:00
MOG,3.9258901489891585e-07,19293993,-3.5,2025-11-04T03:43:12+00:00
ALEO,0.24532496082041813,8903216,-0.8,2025-11-04T03:43:12+00:00
RECALL,0.23138069525739594,22655629,-14.2,2025-11-04T03:43:12+00:00
EHEX,0.0015904576938429761,236595,-6.5,2025-11-04T03:43:12+00:00
GAS,2.318792864165358,7490419,-5.7,2025-11-04T03:43:12+00:00
SNEK,0.00200731925174848,5528563,-8.6,2025-11-04T03:43:12+00:00
MINA,0.11889610642380172,93285913,-8.8,2025-11-04T03:43:12+00:00
BABYDOGE,8.640125536234048e-10,11443713,-5.1,2025-11-04T03:43:12+00:00
BARD,0.6604224091114294,19584677,-1.2,2025-11-04T03:43:12+00:00
SHFL,0.42642951382895455,996648,6.4,2025-11-04T03:43:12+00:00
DOG,0.001469584933091857,8915605,-5.8,2025-11-04T03:43:12+00:00
CKB,0.00305115974873151,14091067,-5.2,2025-11-04T03:43:12+00:00
UCN,1449.8486706222407,3366303,0.1,2025-11-04T03:43:12+00:00
DGB,0.008036954109910215,36161771,-3.5,2025-11-04T03:43:12+00:00
MAG7SSI,0.851620967908318,2688474,-3.8,2025-11-04T03:43:12+00:00
EURS,1.15,757182,0.0,2025-11-04T03:43:12+00:00
RVN,0.009050823224001912,14306326,-3.4,2025-11-04T03:43:12+00:00
SAROS,0.05433820604998885,6339819,-16.3,2025-11-04T03:43:12+00:00
AVNT,0.5446965938979272,66174250,-7.6,2025-11-04T03:43:12+00:00
ULTIMA,3570.6899216230377,12156324,-8.7,2025-11-04T03:43:12+00:00
EUL,7.522219367268411,15288576,-8.8,2025-11-04T03:43:12+00:00
MEW,0.0015618373009034475,29613162,-7.2,2025-11-04T03:43:12+00:00
BIO,0.07724659250584492,56875133,-5.6,2025-11-04T03:43:12+00:00
SAFE,0.20598895575843865,9052955,-7.9,2025-11-04T03:43:12+00:00
QUBIC,1.075104322292275e-06,5714048,-4.6,2025-11-04T03:43:12+00:00
ZIL,0.006930790986525618,15034492,-4.6,2025-11-04T03:43:12+00:00
DRIFT,0.35006075794476466,25222739,-8.1,2025-11-04T03:43:12+00:00
GRASS,0.2997769346290513,31173085,-6.3,2025-11-04T03:43:12+00:00
CELO,0.22750535313989959,25671916,-7.8,2025-11-04T03:43:12+00:00
