Symbol,PriceUSD,VolumeUSD,ChangePct,SnapshotUTC
BTC,106849.84941349308,76839616724,-2.5,2025-11-04T01:52:13+00:00
ETH,3633.8149956205775,48282976017,-5.2,2025-11-04T01:52:13+00:00
USDT,0.9999978751164101,144499386815,-0.0,2025-11-04T01:52:13+00:00
XRP,2.3356543768667466,6196355259,-6.2,2025-11-04T01:52:13+00:00
BNB,996.643722508593,3991049122,-7.0,2025-11-04T01:52:13+00:00
SOL,167.46477229493883,9849517877,-9.9,2025-11-04T01:52:13+00:00
USDC,0.9999902824737834,20329296701,0.0,2025-11-04T01:52:13+00:00
TRX,0.28264083400227163,1565674335,-4.8,2025-11-04T01:52:13+00:00
DOGE,0.16950007444839826,3499998167,-7.2,2025-11-04T01:52:13+00:00
ADA,0.5574771811445347,1484134535,-6.6,2025-11-04T01:52:13+00:00
HYPE,39.7344934330629,788734587,-5.7,2025-11-04T01:52:13+00:00
LINK,15.339376639136995,1371778631,-9.9,2025-11-04T01:52:13+00:00
BCH,508.172939083763,371134134,-4.6,2025-11-04T01:52:13+00:00
USDE,0.9991603046177944,290226472,-0.0,2025-11-04T01:52:13+00:00
XLM,0.2815854693348246,328215411,-6.0,2025-11-04T01:52:13+00:00
LEO,9.535951982107777,978891,-0.6,2025-11-04T01:52:13+00:00
SUI,2.088344938367506,1433197186,-8.9,2025-11-04T01:52:13+00:00
HBAR,0.17751511490812902,404154374,-6.6,2025-11-04T01:52:13+00:00
AVAX,16.80788439472045,807734966,-8.0,2025-11-04T01:52:13+00:00
ZEC,430.30876141157563,1152894733,4.0,2025-11-04T01:52:13+00:00
LTC,89.01415751656216,1011456248,-9.0,2025-11-04T01:52:13+00:00
XMR,342.3406481409997,221790647,-0.3,2025-11-04T01:52:13+00:00
SHIB,9.257678407077654e-06,225823921,-7.2,2025-11-04T01:52:13+00:00
TON,2.0306948744213273,254860476,-10.7,2025-11-04T01:52:13+00:00
CRO,0.13227267206199353,36413357,-7.9,2025-11-04T01:52:13+00:00
DAI,0.9997642186631357,163058577,-0.0,2025-11-04T01:52:13+00:00
TAO,456.884608757533,591298044,-4.9,2025-11-04T01:52:13+00:00
DOT,2.6102778310935406,375456413,-10.2,2025-11-04T01:52:13+00:00
MNT,1.250604018569267,220406014,-9.8,2025-11-04T01:52:13+00:00
M,2.346302233721776,13718510,1.1,2025-11-04T01:52:13+00:00
WLFI,0.11615516559722278,217130385,-11.7,2025-11-04T01:52:13+00:00
UNI,5.240903571159251,382758562,-8.6,2025-11-04T01:52:13+00:00
AAVE,202.1483954397695,399494641,-10.5,2025-11-04T01:52:13+00:00
USD1,0.9992499136153536,462834091,-0.0,2025-11-04T01:52:13+00:00
OKB,133.55049760772533,99758067,-4.4,2025-11-04T01:52:13+00:00
