Symbol,PriceUSD,VolumeUSD,ChangePct,SnapshotUTC
BTC,106667.95531517801,74352074568,-3.3,2025-11-04T00:42:12+00:00
ETH,3627.8612114230373,47257199746,-6.6,2025-11-04T00:42:12+00:00
USDT,0.9999927604306369,144209688648,-0.0,2025-11-04T00:42:12+00:00
XRP,2.3389901885262385,6083989685,-7.0,2025-11-04T00:42:12+00:00
BNB,995.2591808593924,3945441222,-8.0,2025-11-04T00:42:12+00:00
SOL,166.72316721549424,9779165831,-11.3,2025-11-04T00:42:12+00:00
USDC,0.999977000533649,11681043077,0.0,2025-11-04T00:42:12+00:00
TRX,0.2819274496149371,1536510285,-5.3,2025-11-04T00:42:12+00:00
DOGE,0.16890547063219608,3503922183,-8.8,2025-11-04T00:42:12+00:00
ADA,0.556410774354975,1765947355,-8.3,2025-11-04T00:42:12+00:00
HYPE,39.907930575402496,785013754,-5.6,2025-11-04T00:42:12+00:00
LINK,15.441271063199366,1367787644,-11.5,2025-11-04T00:42:12+00:00
BCH,508.0885450208968,369250482,-4.9,2025-11-04T00:42:12+00:00
USDE,0.9994547993772538,297423165,0.0,2025-11-04T00:42:12+00:00
XLM,0.2813641034388991,325626339,-7.2,2025-11-04T00:42:12+00:00
LEO,9.554000307247072,929258,-0.5,2025-11-04T00:42:12+00:00
SUI,2.085040742718722,1448755915,-10.9,2025-11-04T00:42:12+00:00
HBAR,0.1774656182011767,401907518,-8.3,2025-11-04T00:42:12+00:00
AVAX,16.82461402805122,801623927,-10.1,2025-11-04T00:42:12+00:00
ZEC,425.6512373030456,1048604298,4.2,2025-11-04T00:42:12+00:00
LTC,88.48637729276707,1001827653,-10.5,2025-11-04T00:42:12+00:00
XMR,341.4406896086437,219986205,-0.4,2025-11-04T00:42:12+00:00
SHIB,9.240687797764924e-06,223729656,-8.6,2025-11-04T00:42:12+00:00
TON,2.0285300158740576,253632901,-11.7,2025-11-04T00:42:12+00:00
CRO,0.13143687391743095,35921023,-9.7,2025-11-04T00:42:12+00:00
DAI,0.9998227798817728,168079840,-0.0,2025-11-04T00:42:12+00:00
TAO,467.6077336484646,592901776,-3.5,2025-11-04T00:42:12+00:00
DOT,2.6240138154189805,372713596,-11.2,2025-11-04T00:42:12+00:00
M,2.4012062454967364,13682424,3.8,2025-11-04T00:42:12+00:00
MNT,1.2459993362659918,217366779,-12.1,2025-11-04T00:42:12+00:00
WLFI,0.11664877693003242,214960471,-12.8,2025-11-04T00:42:12+00:00
UNI,5.269760942056104,381880097,-9.6,2025-11-04T00:42:12+00:00
AAVE,201.9955519277791,414050628,-12.8,2025-11-04T00:42:12+00:00
USD1,0.9992278754516585,421821838,-0.0,2025-11-04T00:42:12+00:00
OKB,133.46925992405903,99853542,-5.6,2025-11-04T00:42:12+00:00
PYUSD,0.9987069762361485,148137760,0.0,2025-11-04T00:42:12+00:00
BGB,3.798367872021054,126278857,-15.8,2025-11-04T00:42:12+00:00
NEAR,1.929821846063985,309183868,-11.5,2025-11-04T00:42:12+00:00
PEPE,5.768357974725206e-06,678044106,-13.0,2025-11-04T00:42:12+00:00
ENA,0.3373664750513968,316068107,-8.8,2025-11-04T00:42:12+00:00
ETC,15.172168068157344,114067228,-6.4,2025-11-04T00:42:12+00:00
ICP,3.9959658999244896,366999940,-0.2,2025-11-04T00:42:12+00:00
XAUT,3979.227387141345,304124535,0.2,2025-11-04T00:42:12+00:00
APT,2.82025012702104,495351826,-15.8,2025-11-04T00:42:12+00:00
ONDO,0.6202830757858371,176479201,-10.4,2025-11-04T00:42:12+00:00
PI,0.2318540831732341,50834053,-6.9,2025-11-04T00:42:12+00:00
ASTER,0.9115304715594089,1539030827,-24.7,2025-11-04T00:42:12+00:00
POL,0.1707891200704925,119778867,-10.5,2025-11-04T00:42:12+00:00
WLD,0.7359751331330191,239150545,-11.7,2025-11-04T00:42:12+00:00
HTX,1.7721186321610392e-06,20752126,-3.4,2025-11-04T00:42:12+00:00
KCS,12.459060369101362,11000239,-6.9,2025-11-04T00:42:12+00:00
ARB,0.26582423318316983,269228943,-12.6,2025-11-04T00:42:12+00:00
DASH,117.11761010748737,1306385043,32.2,2025-11-04T00:42:12+00:00
TRUMP,7.302029214813803,1381743364,-2.5,2025-11-04T00:42:12+00:00
ALGO,0.1622509870281842,130303716,-8.5,2025-11-04T00:42:12+00:00
GT,12.070510537105088,11101076,-7.7,2025-11-04T00:42:12+00:00
PUMP,0.00390876527629298,362277299,-9.4,2025-11-04T00:42:12+00:00
PAXG,3979.1117222281996,185814262,0.1,2025-11-04T00:42:12+00:00
IP,4.011081391083043,60359735,-6.3,2025-11-04T00:42:12+00:00
VET,0.014795158674336856,45606143,-8.5,2025-11-04T00:42:12+00:00
KAS,0.047143302612264,62012923,-9.0,2025-11-04T00:42:12+00:00
SKY,0.05425896004194979,18087916,-2.8,2025-11-04T00:42:12+00:00
ATOM,2.5305439241050793,149040299,-16.4,2025-11-04T00:42:12+00:00
JUP,0.3677494382894788,55547198,-8.5,2025-11-04T00:42:12+00:00
NEXO,1.0902148106256369,14962721,-3.4,2025-11-04T00:42:12+00:00
MKR,1280.0096874121027,998063,-2.8,2025-11-04T00:42:12+00:00
QNT,74.17962877300486,21671707,-6.6,2025-11-04T00:42:12+00:00
FLR,0.013790083262212278,16622312,-14.1,2025-11-04T00:42:12+00:00
RENDER,2.0304033897819247,88296376,-10.5,2025-11-04T00:42:12+00:00
SEI,0.1676638531857927,151638725,-12.8,2025-11-04T00:42:12+00:00
FIL,1.4578629712520432,213222215,-11.7,2025-11-04T00:42:12+00:00
RLUSD,0.9999467120472136,135835208,0.0,2025-11-04T00:42:12+00:00
FDUSD,0.9975334476971657,5365035935,-0.0,2025-11-04T00:42:12+00:00
