Symbol,PriceUSD,VolumeUSD,ChangePct,SnapshotUTC
BTC,107131.95938827826,76645716320,-2.2,2025-11-04T01:46:13+00:00
ETH,3643.747061638244,48341899799,-5.1,2025-11-04T01:46:13+00:00
USDT,0.999983919174374,144649453344,-0.0,2025-11-04T01:46:13+00:00
XRP,2.342047477983998,6219790070,-5.9,2025-11-04T01:46:13+00:00
BNB,998.5363549656848,3964560882,-6.9,2025-11-04T01:46:13+00:00
SOL,167.79832862148993,9831210626,-9.6,2025-11-04T01:46:13+00:00
USDC,0.9999985335120346,20821065353,0.0,2025-11-04T01:46:13+00:00
TRX,0.28278649094976427,1553091661,-4.8,2025-11-04T01:46:13+00:00
DOGE,0.16981773095883043,3494531754,-7.1,2025-11-04T01:46:13+00:00
ADA,0.5585085280069652,1759085411,-6.6,2025-11-04T01:46:13+00:00
HYPE,39.81107782431395,788340160,-6.0,2025-11-04T01:46:13+00:00
LINK,15.415376958843975,1372371863,-9.7,2025-11-04T01:46:13+00:00
BCH,509.8113909949864,369669750,-4.4,2025-11-04T01:46:13+00:00
USDE,0.9994116544711651,292469412,0.0,2025-11-04T01:46:13+00:00
XLM,0.28216100995563576,328010068,-5.9,2025-11-04T01:46:13+00:00
LEO,9.527677220507549,940644,-0.9,2025-11-04T01:46:13+00:00
SUI,2.0968904128499015,1466294819,-8.7,2025-11-04T01:46:13+00:00
HBAR,0.17767583913239088,406983393,-6.7,2025-11-04T01:46:13+00:00
AVAX,16.85197807157806,807137996,-8.0,2025-11-04T01:46:13+00:00
ZEC,428.0638695349759,1148340914,4.4,2025-11-04T01:46:13+00:00
LTC,88.89183702008548,1010203098,-9.2,2025-11-04T01:46:13+00:00
XMR,342.0509996891934,221811409,-0.6,2025-11-04T01:46:13+00:00
SHIB,9.273637114146551e-06,226418057,-7.1,2025-11-04T01:46:13+00:00
TON,2.0358619606074746,255057561,-10.6,2025-11-04T01:46:13+00:00
CRO,0.13275531101465396,36420710,-7.6,2025-11-04T01:46:13+00:00
DAI,0.9998039177049116,141766011,0.0,2025-11-04T01:46:13+00:00
TAO,459.0458504319813,593037763,-4.3,2025-11-04T01:46:13+00:00
DOT,2.616257995344952,376142411,-10.1,2025-11-04T01:46:13+00:00
MNT,1.2534046069367994,220324457,-9.7,2025-11-04T01:46:13+00:00
M,2.3512705241445224,13723787,1.2,2025-11-04T01:46:13+00:00
WLFI,0.11675957210912526,217088590,-11.5,2025-11-04T01:46:13+00:00
UNI,5.252031179127072,382689406,-8.6,2025-11-04T01:46:13+00:00
AAVE,203.21164423318012,400447701,-10.4,2025-11-04T01:46:13+00:00
USD1,0.9992529744216427,464696833,0.0,2025-11-04T01:46:13+00:00
OKB,133.84390618455572,99866794,-4.3,2025-11-04T01:46:13+00:00
PYUSD,0.9986807644898841,164660070,0.0,2025-11-04T01:46:13+00:00
BGB,3.826170370137346,125948524,-14.7,2025-11-04T01:46:13+00:00
NEAR,1.9253203127342629,308717932,-10.6,2025-11-04T01:46:13+00:00
PEPE,5.767584356790961e-06,691181523,-11.2,2025-11-04T01:46:13+00:00
ENA,0.3368334430457792,314260030,-7.3,2025-11-04T01:46:13+00:00
ETC,15.060490348318954,115503513,-6.0,2025-11-04T01:46:13+00:00
ICP,3.924605373560204,362294961,-5.4,2025-11-04T01:46:13+00:00
XAUT,3981.4627262382014,301293931,-0.2,2025-11-04T01:46:13+00:00
APT,2.8026078280278925,507511075,-14.9,2025-11-04T01:46:13+00:00
ONDO,0.6190390104244496,177070940,-9.0,2025-11-04T01:46:13+00:00
PI,0.2310800291753509,51245922,-6.7,2025-11-04T01:46:13+00:00
ASTER,0.9219718969790563,1531781704,-22.7,2025-11-04T01:46:13+00:00
POL,0.17125925671063544,120383874,-8.9,2025-11-04T01:46:13+00:00
WLD,0.7315977969992709,238825965,-11.1,2025-11-04T01:46:13+00:00
HTX,1.7772423411057826e-06,21597339,-3.3,2025-11-04T01:46:13+00:00
KCS,12.445820043380717,11164601,-6.5,2025-11-04T01:46:13+00:00
ARB,0.2663952138801253,272604181,-10.9,2025-11-04T01:46:13+00:00
DASH,116.26741655441016,1319249057,27.5,2025-11-04T01:46:13+00:00
TRUMP,7.201682758733242,1365951581,-4.8,2025-11-04T01:46:13+00:00
GT,12.197834648961424,9481669,-6.0,2025-11-04T01:46:13+00:00
ALGO,0.16185225397068073,115763395,-7.2,2025-11-04T01:46:13+00:00
PUMP,0.003892878880077302,360689618,-7.6,2025-11-04T01:46:13+00:00
PAXG,3982.5133805586997,185994717,-0.2,2025-11-04T01:46:13+00:00
IP,3.9785078979765998,60490952,-5.5,2025-11-04T01:46:13+00:00
VET,0.014771091070424163,45771213,-7.1,2025-11-04T01:46:13+00:00
KAS,0.04709598107409016,62117275,-7.7,2025-11-04T01:46:13+00:00
SKY,0.05395562769115114,17769979,-2.7,2025-11-04T01:46:13+00:00
ATOM,2.5122111287963063,151567779,-15.2,2025-11-04T01:46:13+00:00
JUP,0.3669414474256267,52615347,-7.0,2025-11-04T01:46:13+00:00
NEXO,1.0951454412599815,13535517,-1.9,2025-11-04T01:46:13+00:00
MKR,1280.5330508793659,1020066,-2.0,2025-11-04T01:46:13+00:00
FLR,0.013881680029168458,15879565,-11.4,2025-11-04T01:46:13+00:00
QNT,74.47982197565956,21928673,-5.4,2025-11-04T01:46:13+00:00
SEI,0.16858769994874453,147725681,-11.0,2025-11-04T01:46:13+00:00
RENDER,2.0289745603319136,86706114,-9.0,2025-11-04T01:46:13+00:00
FIL,1.473839617510526,214235570,-10.7,2025-11-04T01:46:13+00:00
RLUSD,0.9999314723980308,134307299,0.0,2025-11-04T01:46:13+00:00
FDUSD,0.9975528347239468,6752630996,0.0,2025-11-04T01:46:13+00:00
PENGU,0.01566183065219921,245712887,-9.3,2025-11-04T01:46:13+00:00
MORPHO,1.8550812893107709,49010933,-8.8,2025-11-04T01:46:13+00:00
XDC,0.05420881299562756,46231364,-7.0,2025-11-04T01:46:13+00:00
BONK,1.2320822543745846e-05,232928793,-10.9,2025-11-04T01:46:13+00:00
VIRTUAL,1.434971700586308,411067708,-9.0,2025-11-04T01:46:13+00:00
IMX,0.4497987111739291,37736374,-9.2,2025-11-04T01:46:13+00:00
AERO,0.9162442328732451,80135758,-6.7,2025-11-04T01:46:13+00:00
CAKE,2.2546334430058246,153111911,-7.8,2025-11-04T01:46:13+00:00
FTN,1.779921146850099,22381322,0.4,2025-11-04T01:46:13+00:00
SPX,0.743543160980858,44210415,-10.8,2025-11-04T01:46:13+00:00
TIA,0.822197076770516,103112267,-12.3,2025-11-04T01:46:13+00:00
STX,0.37775126069797293,27801546,-8.9,2025-11-04T01:46:13+00:00
